id,name,score,publisher,developer,follow,topic,review,install
1782,Oil Transport Truck 2016,,"Tapinator, Inc. (Ticker: TAPM)",,86,,
1785,Wild Panther Sim 3D,,Turbo Rocket Games,,104,,1
1787,Ball Action 3D,,Badri Bebua,,66,,
1788,干草英雄：农业模拟器,,MobileGames,,71,,1
1789,"公主健身SPA - 免费化妆,换装和健身游戏",,6677g.com,,354,1,2
1790,Paddle Panda,,Six Foot Kid,,4,,
1792,英雄无畏 Heroes Charge HD,5.2,uCool,,95,,6
1793,ONE PIECE TREASURE CRUISE,,BANDAI NAMCO Entertainment Inc.,,2041,,5
1794,英雄无畏 Heroes Charge,,uCool,,223,,3
1795,Tale Seeker,,"Sway Mobile, Inc.",,17,,1
1796,Car Stunt Race Driver 3D,,"Tapinator, Inc. (Ticker: TAPM)",,47,,
1797,公路骑手,9.0,Soner Kara,,121098,18,714
1799,莉比小公主之冰雪派對,,Libii,,909,,7
1801,Hoverboard Segway Driving,,Crazy Mist,,27,,1
1805,Super Fleets - Classic,,OASIS GAMES LIMITED,,3,,
1806,Wheel Online- Wheel Of Fortune,,Biber Games,,2,,
1807,守护者2：塔防CCG,7.8,Nival,,510,,10
1808,The Incorruptibles,,"Maximum Play, Inc.",,28,,
1809,Age of Wushu Dynasty,,Snail Games USA Inc,,729,,3
1810,Angry Anaconda 2016,,"Tapinator, Inc. (Ticker: TAPM)",,103,,1
1811,越狱狙击手II,,GameTime,,548,,4
1812,标志竞猜精湛,,Logo Quiz - Little Riddles - 4 Pics 1 Word,,9,,1
1813,泡泡熊貓 - Bubble Panda,,mobistar,,3,,
1815,星盟冲突,8.1,杭州电魂网络科技股份有限公司,KIXEYE,169272,842,1842
1816,水果傳奇,,appgo,,80,,
1821,萌鬥武俠 名帥英將,,skylinks,,10,,2
1824,迪斯尼-找不同点游戏 for Kakao,,LUNOSOFT INC.,,159,,1
1825,五子棋  for Kakao,,monomob,,941,,1
1828,安妮嗙2,,"SUNDAYTOZ, INC",,506,,3
1830,私立僵尸高中,7.9,Awesomepiece,,34783,24,48
1831,Bounce Brick Breaker,,Monthly 23,,253,,
1832,数码宝贝 灵魂猎手KR,6.8,万代南梦宫,,913,,15
1834,足球英雄 Score! Hero,8.8,First Touch,,30421,9,129
1836,百发百中,5.9,Netmarble Games,,2751,1,28
1837,黑色幸存者,9.1,ARCHBEARS,,399707,6495,4370
1839,词汇消除,8.2,Bluewind,,497,2,12
1840,超级企鹅,9.5,Supersolid,,3095,,15
1844,奇迹MU,,Webzen Inc.,,581,,5
1846,饥饿的鲨鱼进化KR,8.6,Future Games of London,,4882,1,11
1848,The Bitcoin king - Mining Clicker,7.5,Next Doors,,317,,5
1849,星球吞噬战 (Nebulous),9.3,"Simplicial Software, LLC",,27009,7,57
1851,五子棋达人,,SUD Inc.,,2665,,3
1853,黑手党42,,TEAM42,,16295,,5
1856,曲奇饼跑路 for Kakao,9.6,Devsisters Corporation,,6038,2,17
