id,name,score,publisher,developer,follow,order,topic,review,install,recommend
1233,星光传说,9.3,BANDAI NAMCO Entertainment Inc.,,4198,,5,62,,
1235,乖离性百万亚瑟王,8.6,"SQUARE ENIX Co.,Ltd.",,9880,,32,178,,yes
1236,职业棒球PRIDE,,"COLOPL, Inc.",,75,,,,,
1237,MOBIUS FINAL FANTASYJP,9.5,"SQUARE ENIX Co.,Ltd.",,6237,,32,71,,
1238,王国之心：联盟 XJP,9.1,"SQUARE ENIX Co.,Ltd.",,1379,,2,23,,
1239,德比冲刺 Derby Impact,,Ateam Inc.,,26,,,2,,
1523,一統天下,,9SplayDeveloper,,65,,,2,,
1526,煮酒操英雄,8.2,Inch Interactive Entertainment(TW) Ltd,,157,,,26,,
1529,異火焚天,,GAME   Dreamer Limited,,3,,,1,,
1530,太极熊猫,5.3,蜗牛游戏,,1272,,2,37,3233,
1531,LINE跑跑姜饼人,9.3,LINE Corporation,,15619,,55,105,,
1535,合戰三國志-龍の覺醒,6.9,"HongKong Morlia Digital Entertainment Co.,Ltd",,277,,1,6,,
1536,鎖鏈戰記 ChainChronicle,9.2,Mobimon Inc.,,13611,,71,185,,
1538,城堡爭霸 - 王者對決,8.1,IGG.COM,,8151,,120,197,,
1544,鋼鐵帝國,,9SplayDeveloper,,17,,,2,,
1545,寶貝契約,,成為我的主人嗎?,,109,,,4,,
1548,1010!,9.3,Gram Games,,49005,,20,189,,
1551,王国征战,8.7,IGG.COM,,7900,,12,115,,
1552,功夫少林,,Kingnet,,68,,,7,,
1553,战斗女子学院TW,8.9,So-net Entertainment Taiwan,,58732,,1992,1634,,yes
1556,有一個不一樣,,magicc,,9,,,1,,
1557,Brick Legend X,,dinosaur8902,,,,,,,
1559,功夫全明星-釋放你的真武魂,,InterServ International Inc.,,112,,1,1,,
1560,仙劍奇俠傳,,G妹遊戲,,62,,,2,,
1562,刀鋒無雙,,1767Game一起遊戲,,9,,,,,
1564,千題百怪大冒險,,KKPLAY,,12,,1,2,,
